kingdom	phylum	class	order	family	genus	species	status	query
Animalia	Chordata	Reptilia	Squamata	Scincidae	Scelotes	Scelotes_bipes	col_synonym	Scelotes_bipes
Animalia	Chordata	Reptilia	Squamata	Scincidae	Scelotes	Scelotes_caffer	col_synonym	Scelotes_caffer
Animalia	Chordata	Reptilia	Squamata	Scincidae	Scelotes	Scelotes_gronovii	col_synonym	Scelotes_gronovii
Animalia	Chordata	Reptilia	Squamata	Scincidae	Scelotes	Scelotes_kasneri	col_synonym	Scelotes_kasneri
Animalia	Chordata	Reptilia	Squamata	Scincidae	Scelotes	Scelotes_mirus	col_synonym	Scelotes_mirus
Animalia	Chordata	Reptilia	Squamata	Scincidae	Scelotes	Scelotes_montispectus	col_synonym	Scelotes_montispectus
Animalia	Chordata	Reptilia	Squamata	Scincidae	Scelotes	Scelotes_sexlineatus	col_synonym	Scelotes_sexlineatus
Animalia	Chordata	Amphibia	Anura	Hylidae	Scinax	Scinax_elaeochrous	col_synonym	Scinax_elaeochroa
Animalia	Chordata	Reptilia	Squamata	Scincidae	Scincella	Scincella_assatus	col_synonym	Scincella_assatus
Animalia	Chordata	Reptilia	Squamata	Scincidae	Scincella	Scincella_boettgeri	col_synonym	Scincella_boettgeri
Animalia	Chordata	Reptilia	Squamata	Scincidae	Scincella	Scincella_cherriei	col_synonym	Scincella_cherriei
Animalia	Chordata	Reptilia	Squamata	Scincidae	Scincella	Scincella_formosensis	col_synonym	Scincella_formosensis
