kingdom	phylum	class	order	family	genus	species	status	query
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Psammophis	Psammophis_sibilans	col_synonym	Psammophis_sibilans
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Psammophis	Psammophis_subtaeniatus	col_synonym	Psammophis_subtaeniatus
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Psammophis	Psammophis_sudanensis	col_synonym	Psammophis_sudanensis
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Psammophis	Psammophis_tanganicus	col_synonym	Psammophis_tanganicus
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Psammophis	Psammophis_trigrammus	col_synonym	Psammophis_trigrammus
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Psammophylax	Psammophylax_acutus	col_synonym	Psammophylax_acutus
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Psammophylax	Psammophylax_multisquamis	col_synonym	Psammophylax_multisquamis
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Psammophylax	Psammophylax_rhombeatus	col_synonym	Psammophylax_rhombeatus
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Psammophylax	Psammophylax_tritaeniatus	col_synonym	Psammophylax_tritaeniatus
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Psammophylax	Psammophylax_variabilis	col_synonym	Psammophylax_variabilis
Animalia	Chordata	Aves	Passeriformes	Icteridae	Psarocolius	Psarocolius_bifasciatus	col_synonym	Psarocolius_yuracares
Animalia	Chordata	Reptilia	Squamata	Dipsadidae	Pseudalsophis	Pseudalsophis_dorsalis	col_synonym	Pseudalsophis_dorsalis
Animalia	Chordata	Reptilia	Squamata	Dipsadidae	Pseudalsophis	Pseudalsophis_elegans	col_synonym	Pseudalsophis_elegans
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Pseudaspis	Pseudaspis_cana	col_synonym	Pseudaspis_cana
Animalia	Chordata	Reptilia	Squamata	Colubridae	Pseudelaphe	Pseudelaphe_flavirufa	col_synonym	Pseudelaphe_flavirufa
Animalia	Chordata	Reptilia	Squamata	Scincidae	Pseudemoia	Pseudemoia_entrecasteauxii	col_synonym	Pseudemoia_entrecasteauxii
Animalia	Chordata	Reptilia	Testudines	Emydidae	Pseudemys	Pseudemys_concinna	col_synonym	Pseudemys_floridana
Animalia	Chordata	Reptilia	Squamata	Scincidae	Pseudoacontias	Pseudoacontias_menamainty	col_synonym	Pseudoacontias_menamainty
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Pseudoboodon	Pseudoboodon_lemniscatus	col_synonym	Pseudoboodon_lemniscatus
Animalia	Chordata	Reptilia	Squamata	Cordylidae	Pseudocordylus	Pseudocordylus_langi	col_synonym	Pseudocordylus_langi
Animalia	Chordata	Reptilia	Squamata	Cordylidae	Pseudocordylus	Pseudocordylus_melanotus	col_synonym	Pseudocordylus_melanotus
Animalia	Chordata	Reptilia	Squamata	Cordylidae	Pseudocordylus	Pseudocordylus_microlepidotus	col_synonym	Pseudocordylus_microlepidotus
Animalia	Chordata	Reptilia	Squamata	Cordylidae	Pseudocordylus	Pseudocordylus_spinosus	col_synonym	Pseudocordylus_spinosus
Animalia	Chordata	Reptilia	Squamata	Cordylidae	Pseudocordylus	Pseudocordylus_subviridis	col_synonym	Pseudocordylus_subviridis
Animalia	Chordata	Reptilia	Squamata	Cordylidae	Pseudocordylus	Pseudocordylus_transvaalensis	col_synonym	Pseudocordylus_transvaalensis
Animalia	Chordata	Reptilia	Squamata	Anguidae	Pseudopus	Pseudopus_apodus	col_synonym	Pseudopus_apodus
Animalia	Chordata	Reptilia	Squamata	Colubridae	Pseudorabdion	Pseudorabdion_oxycephalum	col_synonym	Pseudorabdion_oxycephalum
Animalia	Chordata	Reptilia	Squamata	Pseudoxenodontidae	Pseudoxenodon	Pseudoxenodon_karlschmidti	col_synonym	Pseudoxenodon_karlschmidti
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Pseudoxyrhopus	Pseudoxyrhopus_ambreensis	col_synonym	Pseudoxyrhopus_ambreensis
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Pseudoxyrhopus	Pseudoxyrhopus_analabe	col_synonym	Pseudoxyrhopus_analabe
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Pseudoxyrhopus	Pseudoxyrhopus_heterurus	col_synonym	Pseudoxyrhopus_heterurus
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Pseudoxyrhopus	Pseudoxyrhopus_microps	col_synonym	Pseudoxyrhopus_microps
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Pseudoxyrhopus	Pseudoxyrhopus_quinquelineatus	col_synonym	Pseudoxyrhopus_quinquelineatus
Animalia	Chordata	Reptilia	Squamata	Lamprophiidae	Pseudoxyrhopus	Pseudoxyrhopus_tritaeniatus	col_synonym	Pseudoxyrhopus_tritaeniatus
Animalia	Chordata	Reptilia	Squamata	Dipsadidae	Psomophis	Psomophis_joberti	col_synonym	Psomophis_joberti
Animalia	Chordata	Reptilia	Squamata	Scincidae	Psychosaura	Psychosaura_agmosticha	col_synonym	Psychosaura_agmosticha
Animalia	Chordata	Reptilia	Squamata	Scincidae	Psychosaura	Psychosaura_macrorhyncha	col_synonym	Psychosaura_macrorhyncha
Animalia	Chordata	Aves	Anseriformes	Anatidae	Ptaiochen	Ptaiochen_pau	col_synonym	Ptaiochen_pau
Animalia	Chordata	Aves	Rheiformes	Rheidae	Rhea	Rhea_pennata	col_synonym	Pterocnemia_pennata
Animalia	Chordata	Aves	Piciformes	Ramphastidae	Pteroglossus	Pteroglossus_azara	col_synonym	Pteroglossus_mariae
Animalia	Chordata	Aves	Anseriformes	Anatidae	Pteronetta	Pteronetta_hartlaubii	col_synonym	Pteronetta_hartlaubi
Animalia	Chordata	Mammalia	Chiroptera	Mormoopidae	Pteronotus	Pteronotus_parnellii	col_synonym	Pteronotus_pusillus
Animalia	Chordata	Mammalia	Chiroptera	Mormoopidae	Pteronotus	Pteronotus_parnellii	col_synonym	Pteronotus_rubiginosus
Animalia	Chordata	Aves	Passeriformes	Vireonidae	Pteruthius	Pteruthius_aeralatus	col_synonym	Pteruthius_validirostris
Animalia	Chordata	Reptilia	Squamata	Colubridae	Ptyas	Ptyas_dhumnades	col_synonym	Ptyas_dhumnades
Animalia	Chordata	Reptilia	Squamata	Colubridae	Ptyas	Ptyas_korros	col_synonym	Ptyas_korros
Animalia	Chordata	Reptilia	Squamata	Colubridae	Ptyas	Ptyas_luzonensis	col_synonym	Ptyas_luzonensis
Animalia	Chordata	Reptilia	Squamata	Colubridae	Ptyas	Ptyas_mucosa	col_synonym	Ptyas_mucosa
Animalia	Chordata	Reptilia	Squamata	Phyllodactylidae	Ptyodactylus	Ptyodactylus_guttatus	col_synonym	Ptyodactylus_siphonorhina
Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	Puffinus_bailloni	col_synonym	Puffinus_colstoni
Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	Puffinus_assimilis	col_synonym	Puffinus_haurakiensis
Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Puffinus	Puffinus_newelli	col_synonym	Puffinus_myrtae
Animalia	Chordata	Amphibia	Anura	Ranidae	Hylarana	Hylarana_banjarana	col_synonym	Pulchrana_banjarana
Animalia	Chordata	Amphibia	Anura	Ranidae	Hylarana	Hylarana_picturata	col_synonym	Pulchrana_picturata
