Bos,taurus
Emberiza,pusilla
Emberiza,rutila
Emberiza,spodocephala
Emberiza,sulphurata
Emberiza,tristrami
Fringilla,montifringilla
Mycerobas,melanozanthos
Propyrrhula,subhimachala
Pyrrhula,erythaca
Pyrrhula,nipalensis
Delichon,dasypus
Delichon,nipalensis
Hirundo,daurica
Hirundo,rustica
Riparia,paludicola
Irena,puella
Lanius,collurioides
Lanius,cristatus
Lanius,schach
Lanius,tephronotus
Lanius,tigrinus
Actinodura,egertoni
Actinodura,ramsayi
Actinodura,souliei
Babax,lanceolatus
Garrulax,albogularis
Garrulax,caerulatus
Garrulax,canorus
Garrulax,chinensis
Garrulax,cineraceus
Garrulax,leucolophus
Garrulax,monileger
Garrulax,pectoralis
Garrulax,sannio
Leiothrix,argentauris
Leiothrix,lutea
Liocichla,phoenicea
Minla,cyanouroptera
Minla,ignotincta
Minla,strigula
Locustella,certhiola
Locustella,lanceolata
Megalurus,palustris
Hypothymis,azurea
Terpsiphone,paradisi
Anthus,cervinus
Anthus,hodgsoni
Anthus,roseatus
Anthus,rufulus
Anthus,sylvanus
Dendronanthus,indicus
Motacilla,alba
Motacilla,cinerea
Motacilla,flava
Brachypteryx,hyperythra
Brachypteryx,montana
Chaimarrornis,leucocephalus
Cochoa,purpurea
Copsychus,malabaricus
Copsychus,saularis
Cyanoptila,cyanomelana
Cyornis,banyumas
Cyornis,hodgsoni
Cyornis,rubeculoides
Cyornis,unicolor
Enicurus,leschenaulti
Enicurus,maculatus
Enicurus,schistaceus
Enicurus,scouleri
Eumyias,thalassina
Ficedula,hodgsonii
Ficedula,hyperythra
Ficedula,mugimaki
Ficedula,narcissina
Ficedula,parva
Ficedula,sapphira
Ficedula,strophiata
Ficedula,tricolor
Ficedula,westermanni
Ficedula,zanthopygia
Hodgsonius,phaenicuroides
Luscinia,brunnea
Luscinia,calliope
Luscinia,cyane
Luscinia,pectardens
Luscinia,pectoralis
Luscinia,sibilans
Luscinia,svecica
Monticola,gularis
Monticola,rufiventris
Monticola,solitarius
Muscicapa,dauurica
Muscicapa,ferruginea
Muscicapa,muttui
Muscicapa,sibirica
Myiomela,leucura
Myophonus,caeruleus
Niltava,davidi
Niltava,grandis
Niltava,macgrigoriae
Niltava,sundara
Niltava,vivida
Paradoxornis,guttaticollis
Phoenicurus,auroreus
Phoenicurus,frontalis
Phoenicurus,hodgsoni
Phoenicurus,ochruros
Rhinomyias,brunneatus
Rhyacornis,fuliginosus
Saxicola,caprata
Saxicola,ferrea
Tarsiger,chrysaeus
Tarsiger,cyanurus
Tarsiger,indicus
Turdus,boulboul
Turdus,dissimilis
Turdus,mupinensis
Turdus,naumanni
Turdus,obscurus
Turdus,pallidus
Turdus,rubrocanus
Turdus,ruficollis
Zoothera,dauma
Zoothera,dixoni
Zoothera,mollissima
Aethopyga,gouldiae
Aethopyga,ignicauda
Aethopyga,nipalensis
Aethopyga,saturata
Aethopyga,siparaja
Arachnothera,magna
